Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:83029900


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
83029900;1;01/04/2024;;1;1;;;;;;0;0;0;"0,0";0;;;;;;"21,6552";"8,4601";"5,0863";"5,5844";;;;"8,7836";"15,3122";"26,7543";"45,7098";;"21,1247";;"12,3859";"10,8642";"6,3792";"7,8329";"10,3214";"7,8329";"8,1432";"6,9412";"43,3377";"126,9708";"43,3377";;0;0;0;0;0;;;;;0;0;0;;;;;0;;0;;;;;;;;;;;;0
83029900;1;01/03/2024;;1;1;;;;;;0;0;0;"0,0";0;"27,0548";"16,9028";"12,3859";"10,5007";"33,1144";"39,4748";"27,9674";"27,3572";"55,1341";"36,5729";"24,9894";"19,0741";"14,2283";"13,8068";"12,7833";"10,5007";"16,9028";"10,1439";"11,2344";"8,4601";"7,232";"6,5173";"5,9746";;"5,3322";"4,8468";;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0
83029900;1;01/02/2024;;1;1;;;;;;0;0;0;"0,0";0;"13,8068";"11,2344";"8,9478";"7,8329";"9,1137";"6,7983";"27,9674";"19,0741";"13,5987";"8,3009";"6,3792";"5,2085";"4,7294";"7,8329";;;;;;"63,2953";"26,7543";"19,5761";"16,2106";"17,137";"16,4396";"12,3859";"11,8025";"12,1897";"29,8421";;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0
83029900;1;01/01/2024;;1;1;;;;;;0;0;0;"0,0";0;;;"11,6114";"5,0863";"4,8468";;;;;"4,3865";;;"10,6816";"5,5844";;;"10,1439";"35,1671";"46,5086";"19,5761";"12,7833";"14,4416";"32,4451";"55,9776";"58,959";;;"26,7543";;"24,9894";"16,6703";0;0;;;;0;0;0;0;;0;0;;;0;0;;;;;;;;;;0;0;;0;;
83029900;2;01/11/2023;;1;1;;;;;;;;;;;"102,9997";"99,9828";"155,7525";"166,1056";"140,0414";"104,0111";"74,9779";"98,9831";"111,1709";"109,1111";"105,0254";"105,0254";"101,9912";"94,0285";"92,0675";"105,0254";"140,0414";;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;
83029900;2;01/10/2023;;1;1;"264,73";"10,14";"95,14";8;3;1;1;2;;;"15,7579";"12,7833";"10,1439";"168,4325";"132,3714";"54,7137";"216,8815";"264,7289";"235,9431";"71,3221";"33,7912";"150,0856";"131,286";"51,3851";"29,8421";"26,1587";"136,7389";"138,938";"109,1111";"79,6218";"72,2311";"97,9862";"100,9855";"102,9997";"102,9997";"92,0675";"33,7912";"41,0029";"83,3949";"72,2311";"79,6218";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
83029900;2;01/09/2023;;1;1;"72,23";"5,33";"15,39";27;1;1;;1;;;"5,3322";"5,843";"14,4416";"32,4451";"24,4156";"14,0167";"11,2344";"10,8642";"11,6114";"14,0167";"10,1439";"9,4504";"8,7836";"16,6703";"9,4504";"7,8329";"8,7836";"6,1079";"6,1079";"16,2106";"8,7836";"9,1137";"11,6114";"8,7836";"10,1439";"15,3122";"72,2311";"39,4748";"26,1587";"16,2106";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
83029900;2;01/08/2023;;1;1;"32,45";"4,85";"10,36";12;30;1;1;1;;;"7,5292";"8,1432";"6,3792";"6,3792";"5,5844";"5,3322";"5,3322";"5,3322";"8,1432";"14,4416";"31,7833";"32,4451";"22,7378";"18,0915";"14,4416";"12,3859";"10,8642";"9,4504";"10,8642";"8,7836";"8,1432";"6,9412";"7,5292";"7,232";"11,2344";"6,9412";"6,657";"5,843";"5,3322";"4,8468";"6,1079";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/07/2023;;1;1;"223,18";"5,58";"26,36";12;7;1;1;1;;;"10,5007";"8,7836";"7,8329";"6,657";"7,5292";"6,1079";"5,5844";"8,4601";"9,1137";"13,1876";"65,0548";"223,1832";"122,6979";"53,8759";"36,5729";"26,7543";"20,6014";"22,7378";"18,5793";"17,137";"16,6703";"14,8734";"13,1876";"11,6114";"11,6114";"10,1439";"9,4504";"10,8642";"10,5007";"9,1137";"8,1432";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/06/2023;;1;1;"103,0";"2,29";"17,98";15;11;1;1;1;;;"3,9511";"3,7426";"3,9511";"2,9699";"2,9699";"2,9699";"2,7918";"2,4535";"2,4535";"2,6197";"2,2933";"6,1079";"11,2344";"45,7098";"102,9997";"81,502";"31,1288";"20,0852";"16,2106";"13,1876";"11,2344";"10,5007";"26,7543";"37,2871";"24,4156";"19,0741";"15,7579";"12,7833";"10,8642";"9,4504";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
